ticker,timeframe,timezone,bucket_start,bucket_end,news_count,score_mean,score_std,score_min,score_max,positive_ratio,neutral_ratio,negative_ratio
2330,hour,Asia/Taipei,2026-04-15T15:00:00+08:00,2026-04-15T16:00:00+08:00,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2330,hour,Asia/Taipei,2026-05-15T15:00:00+08:00,2026-05-15T16:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-05-18T00:00:00+08:00,2026-05-18T01:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-05-20T15:00:00+08:00,2026-05-20T16:00:00+08:00,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-05-22T07:00:00+08:00,2026-05-22T08:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-05-25T22:00:00+08:00,2026-05-25T23:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-05-26T00:00:00+08:00,2026-05-26T01:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-05-26T19:00:00+08:00,2026-05-26T20:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-05-28T11:00:00+08:00,2026-05-28T12:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-05-28T22:00:00+08:00,2026-05-28T23:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-05-29T11:00:00+08:00,2026-05-29T12:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-05-29T13:00:00+08:00,2026-05-29T14:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-05-30T20:00:00+08:00,2026-05-30T21:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-05-31T06:00:00+08:00,2026-05-31T07:00:00+08:00,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2330,hour,Asia/Taipei,2026-06-01T10:00:00+08:00,2026-06-01T11:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-06-01T17:00:00+08:00,2026-06-01T18:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-06-01T19:00:00+08:00,2026-06-01T20:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-06-02T03:00:00+08:00,2026-06-02T04:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-06-02T12:00:00+08:00,2026-06-02T13:00:00+08:00,1,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0
2330,hour,Asia/Taipei,2026-06-02T23:00:00+08:00,2026-06-03T00:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-06-03T22:00:00+08:00,2026-06-03T23:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-06-04T11:00:00+08:00,2026-06-04T12:00:00+08:00,1,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0
2330,hour,Asia/Taipei,2026-06-04T15:00:00+08:00,2026-06-04T16:00:00+08:00,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2330,hour,Asia/Taipei,2026-06-04T17:00:00+08:00,2026-06-04T18:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-06-05T04:00:00+08:00,2026-06-05T05:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-06-05T07:00:00+08:00,2026-06-05T08:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-06-05T12:00:00+08:00,2026-06-05T13:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-06-06T01:00:00+08:00,2026-06-06T02:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2330,hour,Asia/Taipei,2026-06-06T03:00:00+08:00,2026-06-06T04:00:00+08:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
